category,gi,gl,name
fruit,25,3,"Grapefruit, raw"
fruit,43,7,"Grapes, type not specified, raw"
fruit,49,9,"Grapes, type not specified, raw "
fruit,47,6,"Kiwi fruit, Hayward "
fruit,60,9,"Papaya/Paw paw, raw (Carica papaya)"
fruit,60,17,"Paw paw (papaya), ripe "
fruit,24,3,"Plum, raw"
fruit,53,6,"Plum, raw"
fruit,66,28,Raisins 
fruit,54,16,"Raisins (Sun Maid, California, USA)"
fruit,62,19,"Cranberries, sweetened, dried (Ocean Spray, USA)"
fruit,49,10,Raisins
fruit,46,5,Passionfruit Pulp in syrup
